date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:11:34	30/30	---M--	200	added ('OK')	text/plain	date:Wed,%2028%20May%202014%2018:07:09%20GMT	https://webredox.net/robots.txt		(from )
10:11:34	130289/130289	---M-Z	200	added ('OK')	text/html	etag:%2245ab-61c8b1c09092d%22	https://webredox.net/demo/wp/gmag/	D:/blog_1/webredox.net/demo/wp/gmag/index.html	(from )
10:11:35	103207/103207	---M-Z	200	added ('OK')	text/css	etag:%2232bf-61c6c11487c1d%22	https://webredox.net/demo/wp/gmag/wp-content/cache/minify/d366f.css	D:/blog_1/webredox.net/demo/wp/gmag/wp-content/cache/minify/d366f.css	(from https://webredox.net/demo/wp/gmag/)
10:11:36	12254/12254	---MC-	200	added ('OK')	application/rss+xml	etag:%22d4e410c6ecd4a69ead1e80a30c39f69f%22	https://webredox.net/demo/wp/gmag/comments/feed/	D:/blog_1/webredox.net/demo/wp/gmag/comments/feed/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:37	279425/279425	---M-Z	200	added ('OK')	text/css	etag:%22cbee-61c6c114e2d46%22	https://webredox.net/demo/wp/gmag/wp-content/cache/minify/9ba46.css	D:/blog_1/webredox.net/demo/wp/gmag/wp-content/cache/minify/9ba46.css	(from https://webredox.net/demo/wp/gmag/)
10:11:37	64915/64915	---MC-	200	added ('OK')	application/rss+xml	etag:%22d4e410c6ecd4a69ead1e80a30c39f69f%22	https://webredox.net/demo/wp/gmag/feed/	D:/blog_1/webredox.net/demo/wp/gmag/feed/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:38	171381/171381	---M-Z	200	added ('OK')	text/css	etag:%225d63-61c6c133de2ef%22	https://webredox.net/demo/wp/gmag/wp-content/cache/minify/15a3a.css	D:/blog_1/webredox.net/demo/wp/gmag/wp-content/cache/minify/15a3a.css	(from https://webredox.net/demo/wp/gmag/)
10:11:38	59130/59130	---M-Z	200	added ('OK')	text/css	etag:%2231fc-61c6c134107b1%22	https://webredox.net/demo/wp/gmag/wp-content/cache/minify/79cf1.css	D:/blog_1/webredox.net/demo/wp/gmag/wp-content/cache/minify/79cf1.css	(from https://webredox.net/demo/wp/gmag/)
10:11:38	110770/110770	---M-Z	200	added ('OK')	application/x-javascript	etag:%229289-61c6c13755b63%22	https://webredox.net/demo/wp/gmag/wp-content/cache/minify/48361.js	D:/blog_1/webredox.net/demo/wp/gmag/wp-content/cache/minify/48361.js	(from https://webredox.net/demo/wp/gmag/)
10:11:38	4905/4905	---M-Z	200	added ('OK')	application/x-javascript	etag:%227cf-61c6c13750571%22	https://webredox.net/demo/wp/gmag/wp-content/cache/minify/f96c4.js	D:/blog_1/webredox.net/demo/wp/gmag/wp-content/cache/minify/f96c4.js	(from https://webredox.net/demo/wp/gmag/)
10:11:38	2139/2139	---M-Z	200	added ('OK')	application/x-javascript	etag:%2231f-61c6c1376a38a%22	https://webredox.net/demo/wp/gmag/wp-content/cache/minify/5ad0b.js	D:/blog_1/webredox.net/demo/wp/gmag/wp-content/cache/minify/5ad0b.js	(from https://webredox.net/demo/wp/gmag/)
10:11:40	144160/144160	---M-Z	200	added ('OK')	application/json	date:Sat,%2006%20Jul%202024%2003:11:42%20GMT	https://webredox.net/demo/wp/gmag/wp-json/wp/v2/pages/13	D:/blog_1/webredox.net/demo/wp/gmag/wp-json/wp/v2/pages/13.json	(from https://webredox.net/demo/wp/gmag/)
10:11:40	1144032/1144032	---MCZ	200	added ('OK')	application/json	date:Sat,%2006%20Jul%202024%2003:11:42%20GMT	https://webredox.net/demo/wp/gmag/wp-json/	D:/blog_1/webredox.net/demo/wp/gmag/wp-json/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:41	864/864	---M-Z	200	added ('OK')	text/xml	date:Sat,%2006%20Jul%202024%2003:11:43%20GMT	https://webredox.net/demo/wp/gmag/xmlrpc.php?rsd	D:/blog_1/webredox.net/demo/wp/gmag/xmlrpc0db0.php	(from https://webredox.net/demo/wp/gmag/)
10:11:43	2123/2123	---M-Z	200	added ('OK')	application/json	date:Sat,%2006%20Jul%202024%2003:11:44%20GMT	https://webredox.net/demo/wp/gmag/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwebredox.net%2Fdemo%2Fwp%2Fgmag%2F	D:/blog_1/webredox.net/demo/wp/gmag/wp-json/oembed/1.0/embedcea7.json	(from https://webredox.net/demo/wp/gmag/)
10:11:44	2535/2535	---M-Z	200	added ('OK')	text/xml	date:Sat,%2006%20Jul%202024%2003:11:46%20GMT	https://webredox.net/demo/wp/gmag/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwebredox.net%2Fdemo%2Fwp%2Fgmag%2F&format=xml	D:/blog_1/webredox.net/demo/wp/gmag/wp-json/oembed/1.0/embed19aa	(from https://webredox.net/demo/wp/gmag/)
10:11:45	5331/5331	---M--	200	added ('OK')	image/png	etag:%2214d3-5ccb00a7fa080%22	https://webredox.net/demo/wp/gmag/wp-content/themes/gmag/includes/images/logo.png	D:/blog_1/webredox.net/demo/wp/gmag/wp-content/themes/gmag/includes/images/logo.png	(from https://webredox.net/demo/wp/gmag/)
10:11:46	67625/67625	---M-Z	200	added ('OK')	text/html	etag:%22361c-61c8b1e445ff0%22	https://webredox.net/demo/wp/gmag/heres-the-proof-that-momentum-strategies-work/	D:/blog_1/webredox.net/demo/wp/gmag/heres-the-proof-that-momentum-strategies-work/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:46	67724/67724	---MCZ	200	added ('OK')	text/html	etag:%22085fe8971786b0c63e13417c47a0a4a7%22	https://webredox.net/demo/wp/gmag/first-prototype-flight-using-kinetic-launch-system/	D:/blog_1/webredox.net/demo/wp/gmag/first-prototype-flight-using-kinetic-launch-system/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:46	67708/67708	---MCZ	200	added ('OK')	text/html	etag:%22c4f29bdf7c9613330abc3b4c92d23850%22	https://webredox.net/demo/wp/gmag/innovations-that-bring-pleasure-to-all-peoples/	D:/blog_1/webredox.net/demo/wp/gmag/innovations-that-bring-pleasure-to-all-peoples/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:46	67609/67609	---MCZ	200	added ('OK')	text/html	etag:%2210b36b3534da0dc18cbaf5dc931a5887%22	https://webredox.net/demo/wp/gmag/how-maps-reshape-american-politics-in-world/	D:/blog_1/webredox.net/demo/wp/gmag/how-maps-reshape-american-politics-in-world/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:47	59659/59659	---M-Z	200	added ('OK')	text/html	etag:%222d00-61c8ad233d1f7%22	https://webredox.net/demo/wp/gmag/blog/	D:/blog_1/webredox.net/demo/wp/gmag/blog/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:47	40189/40189	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Jul%202024%2003:11:49%20GMT	https://webredox.net/demo/wp/gmag/404	D:/blog_1/webredox.net/demo/wp/gmag/404	(from https://webredox.net/demo/wp/gmag/)
10:11:48	128144/128144	---MCZ	200	added ('OK')	text/html	etag:%22e531ef8f8fc838b60780bcd1489e7ca1%22	https://webredox.net/demo/wp/gmag/carousel/	D:/blog_1/webredox.net/demo/wp/gmag/carousel/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:48	131032/131032	---MCZ	200	added ('OK')	text/html	etag:%2241feecf2298e98837724822667789fae%22	https://webredox.net/demo/wp/gmag/grid/	D:/blog_1/webredox.net/demo/wp/gmag/grid/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:48	6035/6035	---M--	200	added ('OK')	image/jpeg	etag:%221793-5e0f24c42594b%22	https://webredox.net/demo/wp/gmag/wp-content/uploads/2022/06/4.jpg	D:/blog_1/webredox.net/demo/wp/gmag/wp-content/uploads/2022/06/4.jpg	(from https://webredox.net/demo/wp/gmag/)
10:11:48	63756/63756	---MCZ	200	added ('OK')	text/html	etag:%22e8fb3ff528e7baddc7d3b9d2766b7461%22	https://webredox.net/demo/wp/gmag/blog-list-style/	D:/blog_1/webredox.net/demo/wp/gmag/blog-list-style/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:49	91789/91789	---MCZ	200	added ('OK')	text/html	etag:%22e975eb2230e184e8564a9362a2bb1f19%22	https://webredox.net/demo/wp/gmag/blog-list-style-2/	D:/blog_1/webredox.net/demo/wp/gmag/blog-list-style-2/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:49	3923/3923	---M--	200	added ('OK')	image/jpeg	etag:%22f53-5e0f3d44c97f8%22	https://webredox.net/demo/wp/gmag/wp-content/uploads/2022/06/3.jpg	D:/blog_1/webredox.net/demo/wp/gmag/wp-content/uploads/2022/06/3.jpg	(from https://webredox.net/demo/wp/gmag/)
10:11:49	55686/55686	---MCZ	200	added ('OK')	text/html	etag:%22f4c0f53808b34d6d26ea7796cdbcadd4%22	https://webredox.net/demo/wp/gmag/blog-grid-style/	D:/blog_1/webredox.net/demo/wp/gmag/blog-grid-style/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:50	88847/88847	---MCZ	200	added ('OK')	text/html	etag:%22ac6f4033d01870ee4c93b87be69c9f38%22	https://webredox.net/demo/wp/gmag/blog-fullwidth/	D:/blog_1/webredox.net/demo/wp/gmag/blog-fullwidth/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:51	66427/66427	---MCZ	200	added ('OK')	text/html	etag:%228235e2bcf45bb51a225bb3070d67449d%22	https://webredox.net/demo/wp/gmag/london-stay-most-popular-city/	D:/blog_1/webredox.net/demo/wp/gmag/london-stay-most-popular-city/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:51	61719/61719	---MCZ	200	added ('OK')	text/html	etag:%224845a349ccae31a6ae85ae495502be56%22	https://webredox.net/demo/wp/gmag/business/	D:/blog_1/webredox.net/demo/wp/gmag/business/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:51	139440/139440	---M--	200	added ('OK')	image/jpeg	etag:%22220b0-5e141b93cbf97%22	https://webredox.net/demo/wp/gmag/wp-content/uploads/2022/06/banner.jpg	D:/blog_1/webredox.net/demo/wp/gmag/wp-content/uploads/2022/06/banner.jpg	(from https://webredox.net/demo/wp/gmag/)
